group,dataset,n,pos_rate,selection_rate,accuracy,f1,auc,tpr,fpr
<40,heart,11,0.2727272727272727,0.2727272727272727,1.0,1.0,1.0,1.0,0.0
40-54,heart,63,0.5396825396825397,0.5873015873015873,0.9206349206349206,0.9295774647887324,0.9553752535496957,0.9705882352941176,0.13793103448275862
55-69,heart,50,0.7,0.74,0.88,0.9166666666666666,0.878095238095238,0.9428571428571428,0.26666666666666666
70+,heart,7,1.0,0.8571428571428571,0.8571428571428571,0.9230769230769231,,0.8571428571428571,
<40,diabetes,83,0.25301204819277107,0.1927710843373494,0.8433734939759037,0.6486486486486487,0.8740399385560675,0.5714285714285714,0.06451612903225806
40-54,diabetes,19,0.6842105263157895,0.47368421052631576,0.7894736842105263,0.8181818181818182,0.8974358974358975,0.6923076923076923,0.0
55-69,diabetes,7,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.6666666666666666,1.0,0.5,0.0
70+,diabetes,1,1.0,0.0,0.0,0.0,,0.0,
<40,kidney,10,0.4,0.4,1.0,1.0,1.0,1.0,0.0
40-54,kidney,16,0.375,0.375,1.0,1.0,1.0,1.0,0.0
55-69,kidney,20,0.65,0.65,1.0,1.0,1.0,1.0,0.0
70+,kidney,11,0.8181818181818182,0.8181818181818182,1.0,1.0,1.0,1.0,0.0
unknown,kidney,1,1.0,1.0,1.0,1.0,,1.0,
